,large_field,field
0,formal sciences,computer science
1,formal sciences,logic
2,formal sciences,mathematics
3,natural sciences,biology
4,natural sciences,chemistry
5,natural sciences,earth science
6,natural sciences,physics
7,natural sciences,space sciences
8,humanities and social science,anthropology
9,humanities and social science,linguistics
10,humanities and social science,philosophy
11,humanities and social science,economics
12,humanities and social science,political science
13,humanities and social science,sociology
14,humanities and social science,psychology
